domain,unicode,tags,price,description,for_sale,personal_store,auto_renew
buildsolar,,,22,,TRUE,TRUE,TRUE
bullride,,,333,,TRUE,TRUE,TRUE
bungenie,,,22,,TRUE,TRUE,TRUE
burnparty,,,22,,TRUE,TRUE,TRUE
bushmin,,,22,,TRUE,TRUE,TRUE
busyguru,,,22,,TRUE,TRUE,TRUE
buxcard,,,55,,TRUE,TRUE,TRUE
buyadrink,,,111,,TRUE,TRUE,TRUE
buzinanbi,,,11,PT 'horn horn',TRUE,TRUE,TRUE
buzingo,,,22,PT 'horn',TRUE,TRUE,TRUE
bychikha,,,22,,TRUE,TRUE,TRUE
byiv,,,444,by intravenous | In Vitro | _many_ [https://acronyms.thefreedictionary.com/IV],TRUE,TRUE,TRUE
bytecoinbroker,,,111,,TRUE,TRUE,TRUE
cafesito,,,44,ES 'little coffee',TRUE,TRUE,TRUE
cafespice,,,55,,TRUE,TRUE,TRUE
caioxo,,,90,"Portuguese, caio: ENGLISH, fall ..\n'get well soon' or 'kiss it better' :-) \n",TRUE,TRUE,TRUE
calendarjournal,,,22,,TRUE,TRUE,TRUE
californiagold,,,22,,TRUE,TRUE,TRUE
calligraphyart,,,55,,TRUE,TRUE,TRUE
campersusa,,,55,,TRUE,TRUE,TRUE
campervanusa,,,44,,TRUE,TRUE,TRUE
campingholiday,,,222,,FALSE,FALSE,TRUE
campingidea,,,22,,FALSE,FALSE,TRUE
campingplay,,,33,,TRUE,TRUE,TRUE
canadaworkvisa,,,222,,TRUE,TRUE,TRUE
canihavethat,,,22,,TRUE,TRUE,TRUE
cantori,,,555,IT 'singers',TRUE,TRUE,TRUE
carbonita,,,111,ES 'carbonite',TRUE,TRUE,TRUE
cardhatch,,,,t-,FALSE,FALSE,TRUE
carribeanislands,,,11111,carribean islands,TRUE,TRUE,TRUE
carryshit,,,22,,TRUE,TRUE,TRUE
carwifi,,,111,,TRUE,TRUE,TRUE
catbites,,,22,,TRUE,TRUE,TRUE
catbits,,,111,,TRUE,TRUE,TRUE
catboat,,,22,,TRUE,TRUE,TRUE
catbond,,,22,,TRUE,TRUE,TRUE
catcrew,,,55,,TRUE,TRUE,TRUE
catdiva,,,22,,TRUE,TRUE,TRUE
catdivas,,,22,,TRUE,TRUE,TRUE
catgeek,,,111,,TRUE,TRUE,TRUE
catgems,,,22,,TRUE,TRUE,TRUE
catkat,,,22,,TRUE,TRUE,TRUE
catluck,,,55,,TRUE,TRUE,TRUE
catmood,,,111,,TRUE,TRUE,TRUE
catnerd,,,111,,TRUE,TRUE,TRUE
catpros,,,222,,TRUE,TRUE,TRUE
catsaga,,,111,,TRUE,TRUE,TRUE
catsnames,,,55,,TRUE,TRUE,TRUE
catspaws,,,555,,TRUE,TRUE,TRUE
cattek,,,22,,TRUE,TRUE,TRUE
cdtab,,,55,,TRUE,TRUE,TRUE
celeres,,,22,,TRUE,TRUE,TRUE
centones,,,11,,TRUE,TRUE,TRUE
certech,,,22,,TRUE,TRUE,TRUE
cevichebar,,,22,,TRUE,TRUE,TRUE
chaa-khol,,,44,https://en.wikipedia.org/wiki/Chaa-Khol\n Russia .. OR .. a phonetic fire fuel,TRUE,TRUE,TRUE
chainarts,,,22,,TRUE,TRUE,TRUE
chainrek,,,22,,TRUE,TRUE,TRUE
chakrapara,,,22,ES chakra 'to\for',TRUE,TRUE,TRUE
chakratala,,,22,small cymbals,TRUE,TRUE,TRUE
chaletski,,,22,,FALSE,FALSE,TRUE
changeblockchain,,,22,,TRUE,TRUE,TRUE
changestate,,,22,,TRUE,TRUE,TRUE
charababil,,,11,"village in Raipur, India",TRUE,TRUE,TRUE
chartz,,,555,,TRUE,TRUE,TRUE
chausi,,,44,"chausi [or chausie] is a cross between a domestic cat and another non-Felis silvestris, the jungle cat found in Asia",TRUE,TRUE,TRUE
cheapeat,,,22,,TRUE,TRUE,TRUE
cheappart,,,22,,TRUE,TRUE,TRUE
cheaptutor,,,22,,TRUE,TRUE,TRUE
childoriented,,,22,,TRUE,TRUE,TRUE
chinamania,,,111,,TRUE,TRUE,TRUE
chinarang,,,888,,TRUE,TRUE,TRUE
chinarati,,,888,,TRUE,TRUE,TRUE
chinavstaiwan,,,44,,TRUE,TRUE,TRUE
chinesewine,,,888,,TRUE,TRUE,TRUE
chingoje,,,80,"A park in Iringa, Tanzania; or Spanish 'shit' (by Ggl-Transl8).",TRUE,TRUE,TRUE
chocolatecup,,,55,,TRUE,TRUE,TRUE
choffee,,,333,,TRUE,TRUE,TRUE
christmasraffle,,,11,,TRUE,TRUE,TRUE
ciertas,,,44,"ES 'certain, sure, definite'",TRUE,TRUE,TRUE
cilk,,,1234,,TRUE,TRUE,TRUE
clearsunglasses,,,22,,TRUE,TRUE,TRUE
clickpower,,,55,,TRUE,TRUE,TRUE
clockpot,,,22,,TRUE,TRUE,TRUE
closetimes,,,22,,TRUE,TRUE,TRUE
clothmask,,,22,,TRUE,TRUE,TRUE
cloudcannabis,,,999,,TRUE,TRUE,TRUE
cloudokids,,,22,,TRUE,TRUE,TRUE
coderow,,,44,,TRUE,TRUE,TRUE
codesk,,,333,,FALSE,FALSE,TRUE
coinbeg,,,555,,TRUE,TRUE,TRUE
coindav,,,11,,TRUE,TRUE,TRUE
coinpush,,,99,,TRUE,TRUE,TRUE
colorword,,,22,,TRUE,TRUE,TRUE
comunidadrodeo,,,11,ES community rodeo,TRUE,TRUE,TRUE
conductasurvey,,,22,,TRUE,TRUE,TRUE
conefrens,,,22,,TRUE,TRUE,TRUE
confuciuss,,,11,,TRUE,TRUE,TRUE
contagiousabortion,,,11,,TRUE,TRUE,TRUE
cookingwithbeer,,,22,,TRUE,TRUE,TRUE
coolary,,,111,a Studio on Scratch,TRUE,TRUE,TRUE
copycatnft,,,22,,TRUE,TRUE,TRUE
costumemania,,,22,,TRUE,TRUE,TRUE
coughremedy,,,33,,TRUE,TRUE,TRUE
countme,,,555,,TRUE,TRUE,TRUE
craftgenius,,,22,,TRUE,TRUE,TRUE
craftskill,,,44,,TRUE,TRUE,TRUE
createjob,,,22,,TRUE,TRUE,TRUE
createyourhappy,,,11,,TRUE,TRUE,TRUE
creativekitchen,,,44,,TRUE,TRUE,TRUE
creditprovider,,,22,,TRUE,TRUE,TRUE
crewnow,,,22,,TRUE,TRUE,TRUE
crohnsquiz,,,55,,TRUE,TRUE,TRUE
crooksncastles,,,444,https://crooksncastles.com/pages/about-us,TRUE,TRUE,TRUE
cryptmonk,,,111,,TRUE,TRUE,TRUE
cryptoasians,,,888,,TRUE,TRUE,TRUE
cryptoblue,,,333,,TRUE,TRUE,TRUE
cryptofact,,,333,,TRUE,TRUE,TRUE
cryptominersgroup,,,170,,TRUE,TRUE,TRUE
cryptopersia,,,777,,TRUE,TRUE,TRUE
cryptoruin,,,22,,TRUE,TRUE,TRUE
cryptoshoot,,,2112,,TRUE,TRUE,TRUE
cryptospare,,,22,,TRUE,TRUE,TRUE
cryptostep,,,211,,TRUE,TRUE,TRUE
cryptostill,,,213,,TRUE,TRUE,TRUE
cryptotaoist,,,333,,TRUE,TRUE,TRUE
cryptotwist,,,22,,TRUE,TRUE,TRUE
cryptotype,,,333,,TRUE,TRUE,TRUE
cryptoyet,,,211,,TRUE,TRUE,TRUE
crzghcsjz2cwpxfgluhfdp5uvhffhsgvlfj3nxywpksrc7ve5dqa,,,,,FALSE,FALSE,FALSE
customtax,,,44,,TRUE,TRUE,TRUE
cyav,,,444,cyber-audiovisual | Community Youth Against Violence,TRUE,TRUE,TRUE
cyez,,,444,cyber-easy | sighs,TRUE,TRUE,TRUE
cyok,,,444,cyber is good!,TRUE,TRUE,TRUE
cyup,,,444,cyber-up,TRUE,TRUE,TRUE
dadgets,,,111,,TRUE,TRUE,TRUE
dadsell,,,22,,TRUE,TRUE,TRUE
dadsofdiy,,,55,,TRUE,TRUE,TRUE
dadstrain,,,11,,TRUE,TRUE,TRUE
dadworry,,,11,,TRUE,TRUE,TRUE
dairygoats,,,111,,TRUE,TRUE,TRUE
damaoil,,,22,Scots Gaelic 'damages',TRUE,TRUE,TRUE
damerchar,,,11,,TRUE,TRUE,TRUE
daory,,,222,,TRUE,TRUE,TRUE
daouia,,,11,,TRUE,TRUE,TRUE
darkbet,,,666,,TRUE,TRUE,TRUE
darkchi,,,55,,TRUE,TRUE,TRUE
darkdweb,,,888,,TRUE,TRUE,TRUE
darknet22,,,11,,TRUE,TRUE,TRUE
darkwebai,,,55,,TRUE,TRUE,TRUE
daycrypto,,,4321,,TRUE,TRUE,TRUE
dayperson,,,22,,TRUE,TRUE,TRUE
de-jour,,,55,,TRUE,TRUE,TRUE
deadhead420,,,22,,TRUE,TRUE,TRUE
deficalendar,,,22,,TRUE,TRUE,TRUE
defineword,,,22,,TRUE,TRUE,TRUE
degenzoo,,,111,,TRUE,TRUE,TRUE
dellage,,,11,,TRUE,TRUE,TRUE
deodasa,,,22,PT 'toothy',TRUE,TRUE,TRUE
deosculate,,,11,to kiss affectionately,TRUE,TRUE,TRUE
deow,,,444,remove pain [de-'ow'] - 'healing',TRUE,TRUE,TRUE
depotrestaurant,,,22,,TRUE,TRUE,TRUE
desalinated,,,22,,TRUE,TRUE,TRUE
deskheaven,,,22,,TRUE,TRUE,TRUE
devilbirth,,,22,,TRUE,TRUE,TRUE
devle,,,11,,TRUE,TRUE,TRUE
dialecticalmaterialism,,,7,,FALSE,FALSE,TRUE
dianuevo,,,111,SP 'new day'.,TRUE,TRUE,TRUE
dicts,,,555,dictionaries \ dictates,TRUE,TRUE,TRUE
diganga,,,22,,TRUE,TRUE,TRUE
dighair,,,22,,TRUE,TRUE,TRUE
digitaldoza,,,11,,TRUE,TRUE,TRUE
digitaldwellers,,,55,,TRUE,TRUE,TRUE
digitallivre,,,22,,TRUE,TRUE,TRUE
digitrail,,,55,,TRUE,TRUE,TRUE
dijeron,,,77,SP 'they said',TRUE,TRUE,TRUE
dimtsje,,,22,,TRUE,TRUE,TRUE
dimuanya,,,22,Indonesian 'in all'; Angolan town.,TRUE,TRUE,TRUE
dinerabc,,,22,,TRUE,TRUE,TRUE
dinersabc,,,22,,TRUE,TRUE,TRUE
dints,,,4321,,TRUE,TRUE,TRUE
dipha,,,11,,TRUE,TRUE,TRUE
diplomatwallet,,,55,,TRUE,TRUE,TRUE
dipso,,,111,Slang: Disparaging and Offensive. a habitual drinker of alcohol who is frequently intoxicated; a dipsomaniac,TRUE,TRUE,TRUE
directshop,,,111,,TRUE,TRUE,TRUE
dirke,,,22,,TRUE,TRUE,TRUE
dirtyphonics,,,22,,TRUE,TRUE,TRUE
dishrv,,,22,,TRUE,TRUE,TRUE
divacat,,,22,,TRUE,TRUE,TRUE
divergentcapital,,,321,,TRUE,TRUE,TRUE
divvied,,,22,,TRUE,TRUE,TRUE
diyshed,,,1111,diy shed,TRUE,TRUE,TRUE
djgigs,,,55,,TRUE,TRUE,TRUE
dlem,,,444,4char meld[rev],TRUE,TRUE,TRUE
dlim,,,444,,TRUE,TRUE,TRUE
dog-weary,,,22,,TRUE,TRUE,TRUE
dogevote,,,444,,TRUE,TRUE,TRUE
dokrat,,,22,,TRUE,TRUE,TRUE
dolea,,,222,ES 'it hurts',TRUE,TRUE,TRUE
dollaryo,,,44,,TRUE,TRUE,TRUE
domain-gallery,,,55,,TRUE,TRUE,TRUE
domainand,,,33,,TRUE,TRUE,TRUE
domainsau,,,,,FALSE,FALSE,TRUE
domainssl,,,55,,TRUE,TRUE,TRUE
domany,,,44,do many,TRUE,TRUE,TRUE
domoslave,,,44,house [Esperanto] slave,TRUE,TRUE,TRUE
dondaii,,,22,,TRUE,TRUE,TRUE
dongi,,,99,Put on a gi [JP martial arts suit].,TRUE,TRUE,TRUE
dopego,,,222,ES 'i hit' | PT 'of the caught',TRUE,TRUE,TRUE
doubleorquits,,,22,,TRUE,TRUE,TRUE
dragonfoot,,,11,,TRUE,TRUE,TRUE
dragonpair,,,11,,TRUE,TRUE,TRUE
dragontalk,,,22,,TRUE,TRUE,TRUE
dragontell,,,22,,TRUE,TRUE,TRUE
drawrein,,,22,,TRUE,TRUE,TRUE
dreamwalking,,,22,,TRUE,TRUE,TRUE
drugdex,,,222,,TRUE,TRUE,TRUE
drybrushing,,,33,,TRUE,TRUE,TRUE
dslrtripod,,,22,,TRUE,TRUE,TRUE
dudebrew,,,22,,TRUE,TRUE,TRUE
duediamond,,,22,,TRUE,TRUE,TRUE
dugolaz,,,55,Croatian 'long-distance',TRUE,TRUE,TRUE
dunyasi,,,555,"Azerbaijani, Javanese, Kyrgyz, Malay, Sundanese, Swahili, Tajik, Turkish, Turkmen, Uzbek .. 'world [is]'",TRUE,TRUE,TRUE
dwarfnft,,,22,,TRUE,TRUE,TRUE
dwebshare,,,22,,TRUE,TRUE,TRUE
dwebstat,,,11,,TRUE,TRUE,TRUE
dyeing,,,456,Color/colour your life!! :-),TRUE,TRUE,TRUE
dynotic,,,22,,TRUE,TRUE,TRUE
eachtoherown,,,22,,TRUE,TRUE,TRUE
earmint,,,22,,TRUE,TRUE,TRUE
eartharoma,,,22,,TRUE,TRUE,TRUE
earthchronicles,,,22,,TRUE,TRUE,TRUE
earthdeck,,,22,,TRUE,TRUE,TRUE
earthgleam,,,22,,TRUE,TRUE,TRUE
earthround,,,33,,TRUE,TRUE,TRUE
eatark,,,22,,TRUE,TRUE,TRUE
eatfrenzy,,,22,,TRUE,TRUE,TRUE
eatpallet,,,33,,TRUE,TRUE,TRUE
eatsshootsandleaves,,,22,,TRUE,TRUE,TRUE
ebay-nft,,,22,,TRUE,TRUE,TRUE
ebbk,,,444,big\fat ebook [or .. tide goes out a kay lol],TRUE,TRUE,TRUE
ecoherald,,,22,,TRUE,TRUE,TRUE
econowork,,,22,,TRUE,TRUE,TRUE
ecotraders,,,55,,TRUE,TRUE,TRUE
ecoutility,,,55,,TRUE,TRUE,TRUE
eculture,,,333,,TRUE,TRUE,TRUE
edibleking,,,44,,TRUE,TRUE,TRUE
egerritzen,,,11,,TRUE,TRUE,TRUE
egosurf,,,55,,TRUE,TRUE,TRUE
ehehe,,,44,,TRUE,TRUE,TRUE
electricwelding,,,11,,TRUE,TRUE,TRUE
elgoogle,,,3190.0913,,TRUE,TRUE,TRUE
elimits,,,44,,TRUE,TRUE,TRUE
elmac,,,22,,TRUE,TRUE,TRUE
elvesonline,,,22,,TRUE,TRUE,TRUE
emilitary,,,333,,TRUE,TRUE,TRUE
encer,,,55,,TRUE,TRUE,TRUE
energy-up,,,22,,TRUE,TRUE,TRUE
englishcastles,,,111,,TRUE,TRUE,TRUE
enjoythemoments,,,11,,TRUE,TRUE,TRUE
ens4you,,,44,,TRUE,TRUE,TRUE
ensmind,,,22,,TRUE,TRUE,TRUE
ensninjas,,,55,,TRUE,TRUE,TRUE
enspartners,,,222,,TRUE,TRUE,TRUE
entric,,,22,,TRUE,TRUE,TRUE
ephemerama,,,77,,TRUE,TRUE,TRUE
epicwit,,,22,,TRUE,TRUE,TRUE
equestriancoach,,,22,,TRUE,TRUE,TRUE
eremy,,,111,,TRUE,TRUE,TRUE
ernar,,,22,,TRUE,TRUE,TRUE
eslaw,,,55,,TRUE,TRUE,TRUE
espan,,,222,[short Español] |Enhanced Switched Port Analyzer (Cisco) | Electronic and Small Press Authors' Network (Romance Writers of America),TRUE,TRUE,TRUE
estyled,,,33,,TRUE,TRUE,TRUE
eth-degen,,,55,,TRUE,TRUE,TRUE
ethyk,,,888,,TRUE,TRUE,TRUE
etsgo,,,11,,TRUE,TRUE,TRUE
euroflag,,,55,,TRUE,TRUE,TRUE
euromade,,,22,,TRUE,TRUE,TRUE
europlus,,,22,,TRUE,TRUE,TRUE
eurue,,,44,List the things that the EU rue!,TRUE,TRUE,TRUE
eversham,,,22,,TRUE,TRUE,TRUE
everyai,,,222,,TRUE,TRUE,TRUE
everythingcheap,,,22,,TRUE,TRUE,TRUE
exhibitservice,,,22,,TRUE,TRUE,TRUE
