domain,price,description,for_sale,personal_store,auto_renew
"tastetomint",22,,FALSE,TRUE,TRUE
"baba-jaga",22,,FALSE,TRUE,TRUE
"divvied",22,,FALSE,TRUE,TRUE
"mikredki",22,,FALSE,TRUE,TRUE
"hyphenstudio",22,,FALSE,TRUE,TRUE
"doubleorquits",22,,FALSE,TRUE,TRUE
"eatpallet",33,,FALSE,TRUE,TRUE
"trashforce",33,,FALSE,TRUE,TRUE
"globe-trot",55,,FALSE,TRUE,TRUE
"childoriented",22,,FALSE,TRUE,TRUE
"itchfor",11,,FALSE,TRUE,TRUE
"kungfunecktie",22,,FALSE,TRUE,TRUE
"touchass",22,,FALSE,TRUE,TRUE
"panprog",22,,FALSE,TRUE,TRUE
"monkeydojo",111,,FALSE,TRUE,TRUE
"scoundrelly",22.22,,FALSE,TRUE,TRUE
"techxpert",55,,FALSE,TRUE,TRUE
"bromised",22,"bro promise[d]",FALSE,TRUE,TRUE
"oneuni",111,,FALSE,TRUE,TRUE
"desalinated",22,,FALSE,TRUE,TRUE
"pterophorid",22,"tiny plume moths, a family of Lepidoptera with unusually modified wings",FALSE,TRUE,TRUE
"xn--ehq0m06e",365,"CH\ZH ‘3 6 5’",FALSE,TRUE,TRUE
"rommany",99,,FALSE,TRUE,TRUE
"fastgym",44,,FALSE,TRUE,TRUE
"misseat",22,"miss-eat \ miss-seat",FALSE,TRUE,TRUE
"rantize",22,,FALSE,TRUE,TRUE
"luffas",222,,FALSE,TRUE,TRUE
"geeksquare",22,,FALSE,TRUE,TRUE
"gymaesthetics",22,,FALSE,TRUE,TRUE
"snowboardhire",22,,FALSE,TRUE,TRUE
"afrostudio",22,,FALSE,TRUE,TRUE
"sitalone",22,,FALSE,TRUE,TRUE
"amemelord",22,,FALSE,TRUE,TRUE
"marspaceship",22,,FALSE,TRUE,TRUE
"busyguru",22,,FALSE,TRUE,TRUE
"insertdate",22,,FALSE,TRUE,TRUE
"ebay-nft",22,,FALSE,TRUE,TRUE
"apesmint",22,,FALSE,TRUE,TRUE
"friendlyname",22,,FALSE,TRUE,TRUE
"clickpower",55,,FALSE,TRUE,TRUE
"ironwares",111,,FALSE,TRUE,TRUE
"setcamera",22,,FALSE,TRUE,TRUE
"guccihat",22,,FALSE,TRUE,TRUE
"smash-the-bat",22,,FALSE,TRUE,TRUE
"shamcenter",22,,FALSE,TRUE,TRUE
"knightstalker",22,,FALSE,TRUE,TRUE
"burnparty",22,,FALSE,TRUE,TRUE
"feeldumb",22,,FALSE,TRUE,TRUE
"vextreme",22,,FALSE,TRUE,TRUE
"deadhead420",22,,FALSE,TRUE,TRUE
"understars",22,,FALSE,TRUE,TRUE
"dreamwalking",22,,FALSE,TRUE,TRUE
"happydecay",22,,FALSE,TRUE,TRUE
"muggleworld",11,,FALSE,TRUE,TRUE
"footdragon",11,,FALSE,TRUE,TRUE
"pensexpert",22,,FALSE,TRUE,TRUE
"xn--wine-9f53c",,,FALSE,TRUE,TRUE
"sagepunk",22,,FALSE,TRUE,TRUE
"king-of-shit",22,,FALSE,TRUE,TRUE
"chinavstaiwan",44,,FALSE,TRUE,TRUE
"energy-up",22,,FALSE,TRUE,TRUE
"unosquare",22,,FALSE,TRUE,TRUE
"justsun",22,,FALSE,TRUE,TRUE
"losttoys",22,,FALSE,TRUE,TRUE
"retiredguy",22,,FALSE,TRUE,TRUE
"flashmatrix",22,,FALSE,TRUE,TRUE
"agemoon",22,,FALSE,TRUE,TRUE
"smokedaddy",22,,FALSE,TRUE,TRUE
"awetastic",22,,FALSE,TRUE,TRUE
"artofzoo",55,,FALSE,TRUE,TRUE
"mojidad",22,,FALSE,TRUE,TRUE
"oneillusa",22,,FALSE,TRUE,TRUE
"lightyear0",22,,FALSE,TRUE,TRUE
"bluetrips",22,,FALSE,TRUE,TRUE
"enspartners",222,,FALSE,TRUE,TRUE
"uniquecapital",22,,FALSE,TRUE,TRUE
"elvesonline",22,,FALSE,TRUE,TRUE
"nationbase",22,,FALSE,TRUE,TRUE
"7two7",22,,FALSE,TRUE,TRUE
"dirtyphonics",22,,FALSE,TRUE,TRUE
"696-696",22,,FALSE,TRUE,TRUE
"dragonpair",11,,FALSE,TRUE,TRUE
"dragonfoot",11,,FALSE,TRUE,TRUE
"polygraphy",333,,FALSE,TRUE,TRUE
"staffmail",33,,FALSE,TRUE,TRUE
"notold",55,,FALSE,TRUE,TRUE
"wikimanual",55,,FALSE,TRUE,TRUE
"xn--z7xaa",,,FALSE,TRUE,TRUE
"bongaverse",55,,FALSE,TRUE,TRUE
"bidonart",55,,FALSE,TRUE,TRUE
"smartswag",33,,FALSE,TRUE,TRUE
"apeshub",111,,FALSE,TRUE,TRUE
"thingtrade",22,,FALSE,TRUE,TRUE
"walkwin",22,,FALSE,TRUE,TRUE
"pop-it",22,,FALSE,TRUE,TRUE
"wineideal",44,,FALSE,TRUE,TRUE
"usertrade",22,,FALSE,TRUE,TRUE
"flowlist",22,,FALSE,TRUE,TRUE
"peacequiet",44,,FALSE,TRUE,TRUE
"walllaw",44,,FALSE,TRUE,TRUE
"planshe",222,"plan-she | plans-he",FALSE,TRUE,TRUE
"worksolid",33,,FALSE,TRUE,TRUE
"clockpot",22,,FALSE,TRUE,TRUE
"mailfun",22,,FALSE,TRUE,TRUE
"kidpolicy",33,,FALSE,TRUE,TRUE
"windhide",22,,FALSE,TRUE,TRUE
"proofwin",22,,FALSE,TRUE,TRUE
"coderow",44,,FALSE,TRUE,TRUE
"mailmenu",22,,FALSE,TRUE,TRUE
"worldbirth",22,,FALSE,TRUE,TRUE
"staffpower",33,,FALSE,TRUE,TRUE
"nytrucks",22,,FALSE,TRUE,TRUE
"nftaccepted",55,,FALSE,TRUE,TRUE
"carwifi",111,,FALSE,TRUE,TRUE
"bluetoothearrings",11,,FALSE,TRUE,TRUE
"tiemekangaroodown",22,,FALSE,TRUE,TRUE
"reunionnft",22,,FALSE,TRUE,TRUE
"unmoated",22,,FALSE,TRUE,TRUE
"shopreturn",22,,FALSE,TRUE,TRUE
"slogwood",22,,FALSE,TRUE,TRUE
"ridedragon",22,,FALSE,TRUE,TRUE
"returnbest",22,,FALSE,TRUE,TRUE
"nowhat",222,"Now What!? | No, What?",FALSE,TRUE,TRUE
"nextceo",55,,FALSE,TRUE,TRUE
"nexttip",44,,FALSE,TRUE,TRUE
"slangular",22,,FALSE,TRUE,TRUE
"whackedout",22,,FALSE,TRUE,TRUE
"headrhyme",11,,FALSE,TRUE,TRUE
"amazingpoetry",11,,FALSE,TRUE,TRUE
"duediamond",22,,FALSE,TRUE,TRUE
"drawrein",22,,FALSE,TRUE,TRUE
"dragontalk",22,,FALSE,TRUE,TRUE
"dragontell",22,,FALSE,TRUE,TRUE
"outrick",55,,FALSE,TRUE,TRUE
"horseroad",22,,FALSE,TRUE,TRUE
"funnycritters",22.22,,FALSE,TRUE,TRUE
"cdtab",55,,FALSE,TRUE,TRUE
"codesk",333,,FALSE,TRUE,TRUE
"bikehazard",11,,FALSE,TRUE,TRUE
"peacemaxi",22,,FALSE,TRUE,TRUE
"fiddypence",11,,FALSE,TRUE,TRUE
"rugminter",11,,FALSE,TRUE,TRUE
"specialart",33,,FALSE,TRUE,TRUE
"devilbirth",22,,FALSE,TRUE,TRUE
"yellowrisk",22,,FALSE,TRUE,TRUE
"xn--ivy-q192b4c",,,FALSE,TRUE,TRUE
"mapsmobile",22,,FALSE,TRUE,TRUE
"goodyearmaps",11,,FALSE,TRUE,TRUE
"stirpiculturist",22,"One who devotes themself to the improvement of the breed or stock in animals",FALSE,TRUE,TRUE
"flag-waving",33,,FALSE,TRUE,TRUE
"unh-unh",11,,FALSE,TRUE,TRUE
"chinamania",111,,FALSE,TRUE,TRUE
"yz01",22,,FALSE,TRUE,TRUE
"inacura",11,,FALSE,TRUE,TRUE
"musictag",33,,FALSE,TRUE,TRUE
"artutor",44,,FALSE,TRUE,TRUE
"unhodl",111,,FALSE,TRUE,TRUE
"idrt",444.44,,FALSE,TRUE,TRUE
"oldog",111,,FALSE,TRUE,TRUE
"ensninjas",55,,FALSE,TRUE,TRUE
"lovecatz",55,,FALSE,TRUE,TRUE
"touchcat",44,,FALSE,TRUE,TRUE
"giss888",88,,FALSE,TRUE,TRUE
"webjames",33,,FALSE,TRUE,TRUE
"domainssl",55,,FALSE,TRUE,TRUE
"natureboat",33,,FALSE,TRUE,TRUE
"mixwriter",22,,FALSE,TRUE,TRUE
"mindteam",44,,FALSE,TRUE,TRUE
"runeditor",33,,FALSE,TRUE,TRUE
"feedlet",11,,FALSE,TRUE,TRUE
"confuciuss",11,,FALSE,TRUE,TRUE
"longfunny",11,,FALSE,TRUE,TRUE
"betquit",55,,FALSE,TRUE,TRUE
"stargod",111,,FALSE,TRUE,TRUE
"earthround",33,,FALSE,TRUE,TRUE
"futuredad",44,,FALSE,TRUE,TRUE
"hand-worked",33,,FALSE,TRUE,TRUE
"transvests",22,,FALSE,TRUE,TRUE
"thunder-god",11,,FALSE,TRUE,TRUE
"old-fangled",33,,FALSE,TRUE,TRUE
"domainand",33,,FALSE,TRUE,TRUE
"regularira",22,"PT 'regular' | ES 'regularize'",FALSE,TRUE,TRUE
"amibisexual",22,,FALSE,TRUE,TRUE
"euroflag",55,,FALSE,TRUE,TRUE
"pdfcloud",33,,FALSE,TRUE,TRUE
"cheapeat",22,,FALSE,TRUE,TRUE
"asianextension",11,,FALSE,TRUE,TRUE
"apologyvideo",22,,FALSE,TRUE,TRUE
"amemesia",22,"A disorder, where in which a person sends a meme to the same person again, or to whom initially showed them the same meme",FALSE,TRUE,TRUE
"thiscanbeseen",11,,FALSE,TRUE,TRUE
"alienfistbump",11,,FALSE,TRUE,TRUE
"eth-degen",55,,FALSE,TRUE,TRUE
"exoticsinc",33,,FALSE,TRUE,TRUE
"punxart",111,,FALSE,TRUE,TRUE
"apefriend",33,,FALSE,TRUE,TRUE
"birthchip",44,,FALSE,TRUE,TRUE
"craftskill",44,,FALSE,TRUE,TRUE
"winnerlife",33,,FALSE,TRUE,TRUE
"xn--ehq45fkxb6w6e",,,FALSE,TRUE,TRUE
"frozenmeal",44,,FALSE,TRUE,TRUE
"xn--ect323j",,,FALSE,TRUE,TRUE
"sushiknife",33,,FALSE,TRUE,TRUE
"campingidea",22.22,,FALSE,TRUE,TRUE
"assassassin",22,,FALSE,TRUE,TRUE
"unicornsnot",11,,FALSE,TRUE,TRUE
"legoforadults",33,,FALSE,TRUE,TRUE
"lovemypen",33,,FALSE,TRUE,TRUE
"stonerplay",22,,FALSE,TRUE,TRUE
"campingplay",33,,FALSE,TRUE,TRUE
"mapready",22,,FALSE,TRUE,TRUE
"runtofthelitter",22,,FALSE,TRUE,TRUE
"plurali",22,,FALSE,TRUE,TRUE
"stonercards",22.22,,FALSE,TRUE,TRUE
"avogadrian",22,,FALSE,TRUE,TRUE
"painsomnia",22,,FALSE,TRUE,TRUE
"ww2gear",22,,FALSE,TRUE,TRUE
"supersquid",22,,FALSE,TRUE,TRUE
"fidgetpad",22,,FALSE,TRUE,TRUE
"arewehere",11,,FALSE,TRUE,TRUE
"xn--j1aiaaavco",,,FALSE,TRUE,TRUE
"xn--b1aqlekei",,,FALSE,TRUE,TRUE
"xn--h1adalean",,,FALSE,TRUE,TRUE
"clothmask",22,,FALSE,TRUE,TRUE
"stonerstickers",33,,FALSE,TRUE,TRUE
"catnerd",22.2,,FALSE,TRUE,TRUE
"sunrub",55,,FALSE,TRUE,TRUE
"webpager",111,,FALSE,TRUE,TRUE
"logicz",55,,FALSE,TRUE,TRUE
"salezy",77,,FALSE,TRUE,TRUE
"buxcard",55,,FALSE,TRUE,TRUE
"de-jour",55,,FALSE,TRUE,TRUE
"gasparks",11,,FALSE,TRUE,TRUE
"gashort",11,,FALSE,TRUE,TRUE
"pixelogic",55,,FALSE,TRUE,TRUE
"gashepherd",11,,FALSE,TRUE,TRUE
"gasavage",11,,FALSE,TRUE,TRUE
"gasellers",11,,FALSE,TRUE,TRUE
"ox-eye",11,,FALSE,TRUE,TRUE
"xn--1ug1455p8fa",,,FALSE,TRUE,TRUE
"spamsite",55,,FALSE,TRUE,TRUE
"xn--1ug1455p9fa",,,FALSE,TRUE,TRUE
"parysh",22,[parish],FALSE,TRUE,TRUE
"omejie",11,"mis-spelling of 'emojie'",FALSE,TRUE,TRUE
"funjest",22.2,,FALSE,TRUE,TRUE
"catsaga",22.2,,FALSE,TRUE,TRUE
"hnssparkly",234,"...pprreettttyy..... :D",FALSE,TRUE,TRUE
"holistichns",999,,FALSE,TRUE,TRUE
"dimtsje",22,,FALSE,TRUE,TRUE
"paleohns",345,"want to list early registered names..?",FALSE,TRUE,TRUE
"hnsbandana",123,,FALSE,TRUE,TRUE
"methusala",969,"1HNS for the years he's said to have lived :-)",FALSE,TRUE,TRUE
"bruijst",44,"Dutch 'fizz'",FALSE,TRUE,TRUE
"xn--ster-vqa",,,FALSE,TRUE,TRUE
"xn--cde-ho6a",,,FALSE,TRUE,TRUE
"sunrisehns",456,"For all things new in Handshake.......",FALSE,TRUE,TRUE
"bullride",333,,FALSE,TRUE,TRUE
"personise",111,,FALSE,TRUE,TRUE
"word-for-word",33,,FALSE,TRUE,TRUE
"bardish",55,,FALSE,TRUE,TRUE
"showing-off",55,,FALSE,TRUE,TRUE
"abrogating",55,"Now abrogating this domain .. care to take it off my hands..?",FALSE,TRUE,TRUE
"mexicanpinatas",22,,FALSE,TRUE,TRUE
"seoguy",222,,FALSE,TRUE,TRUE
"pirateradioship",77,,FALSE,TRUE,TRUE
"yogaphilosophy",33,,FALSE,TRUE,TRUE
"monophagy",55,"feeding on a single type of food",FALSE,TRUE,TRUE
"tiedyes",55,,FALSE,TRUE,TRUE
"newitch",33,"new itch | new witch",FALSE,TRUE,TRUE
"manteaus",22,"plural noun: a loose gown or cloak worn by women in the 17th and 18th centuries \ a long, loose coat or overshirt worn by Muslim women.",FALSE,TRUE,TRUE
"boot-leg",22,,FALSE,TRUE,TRUE
"drybrushing",33,,FALSE,TRUE,TRUE
"creativekitchen",44,,FALSE,TRUE,TRUE
"freshraw",222,,FALSE,TRUE,TRUE
"petcows",55,,FALSE,TRUE,TRUE
"xn--15q26v",1111,"CH\ZH ‘all seasons’",FALSE,TRUE,TRUE
"sname",555,,FALSE,TRUE,TRUE
"chaa-khol",44,"https://en.wikipedia.org/wiki/Chaa-Khol\n Russia .. OR .. a phonetic fire fuel",FALSE,TRUE,TRUE
"bloodbone",111,,FALSE,TRUE,TRUE
"nationalcostume",55,,FALSE,TRUE,TRUE
"xn--ai-wl03a",,,FALSE,TRUE,TRUE
"asiansupplies",55,,FALSE,TRUE,TRUE
"windowr",111,,FALSE,TRUE,TRUE
"ask8ball",111,,FALSE,TRUE,TRUE
"bolshoylog",22,"Botanical reserve of regional importance in Krasnensky District of the Belgorod Oblast, Russia.",FALSE,TRUE,TRUE
"b4buy",22,,FALSE,TRUE,TRUE
"selfexpert",44,,FALSE,TRUE,TRUE
"teachaid",22,,FALSE,TRUE,TRUE
"xscapetour",22,,FALSE,TRUE,TRUE
"windoors",111,,FALSE,TRUE,TRUE
"buyadrink",111,,FALSE,TRUE,TRUE
"calligraphyart",55,,FALSE,TRUE,TRUE
"seriouspizza",55,,FALSE,TRUE,TRUE
"seospy",55,,FALSE,TRUE,TRUE
"bicyclegenerator",33,,FALSE,TRUE,TRUE
"carribeanislands",11111,,FALSE,TRUE,TRUE
"farmcareer",33,,FALSE,TRUE,TRUE
"handyear",55,,FALSE,TRUE,TRUE
"bestdishes",55,,FALSE,TRUE,TRUE
"buildmake",444,,FALSE,TRUE,TRUE
"campervanusa",44,,FALSE,TRUE,TRUE
"campingholiday",222,,FALSE,TRUE,TRUE
"humanfact",33,,FALSE,TRUE,TRUE
"directshop",111,,FALSE,TRUE,TRUE
"diyshed",1111,,FALSE,TRUE,TRUE
"dishrv",22,,FALSE,TRUE,TRUE
"defineword",22,,FALSE,TRUE,TRUE
"badburger",33,,FALSE,TRUE,TRUE
"bmxmag",55,,FALSE,TRUE,TRUE
"booksused",22,,FALSE,TRUE,TRUE
"searchya",22,,FALSE,TRUE,TRUE
"theeightfoldpath",111,,FALSE,TRUE,TRUE
"theartofwriting",33,,FALSE,TRUE,TRUE
"dairygoats",111,,FALSE,TRUE,TRUE
"coughremedy",33,,FALSE,TRUE,TRUE
"customtax",44,,FALSE,TRUE,TRUE
"chocolatecup",55,,FALSE,TRUE,TRUE
"bestauthors",33,,FALSE,TRUE,TRUE
"bookcircus",33,,FALSE,TRUE,TRUE
"campersusa",55,,FALSE,TRUE,TRUE
"catsnames",55,,FALSE,TRUE,TRUE
"arcadeshop",22,,FALSE,TRUE,TRUE
"rhymetime",55,,FALSE,TRUE,TRUE
"bookyards",22,,FALSE,TRUE,TRUE
"bluesartists",33,,FALSE,TRUE,TRUE
"simplefurniture",22,,FALSE,TRUE,TRUE
"tellsus",11,,FALSE,TRUE,TRUE
"tablefor2",22,,FALSE,TRUE,TRUE
"suryayoga",55,,FALSE,TRUE,TRUE
"seooptimise",55,,FALSE,TRUE,TRUE
"wholegoods",111,,FALSE,TRUE,TRUE
"wildfermentation",111,,FALSE,TRUE,TRUE
"tindwari",11,"A Northern Indian town and a nagar panchayat (area transitioning from rural to urban) in Banda district in the state of Uttar Pradesh.",FALSE,TRUE,TRUE
"xn--64hx850o",,,FALSE,TRUE,TRUE
"xn--cz8ha61y",,,FALSE,TRUE,TRUE
"sucy-en-brie",11,https://en.wikipedia.org/wiki/Sucy-en-Brie,FALSE,TRUE,TRUE
"xn--cz8ha914a",,,FALSE,TRUE,TRUE
"cloudcannabis",999,,FALSE,TRUE,TRUE
"kinghaggard",44,https://thelastunicorn.fandom.com/wiki/King_Haggard,FALSE,TRUE,TRUE
"btc_archive",666,,FALSE,TRUE,TRUE
"theforks",1234.5678,"If you really need to give a mate something special....!",FALSE,TRUE,TRUE
"dianuevo",111,"SP 'new day'.",FALSE,TRUE,TRUE
"vorgeschlagen",22,"DE verb:\n suggest, propose, put forward, nominate, propound",FALSE,TRUE,TRUE
"nuevosanjuan",111,"The _centre_ of the Americas lol .. central Central America, Panama",FALSE,TRUE,TRUE
"traviezas",22,"SP mischief",FALSE,TRUE,TRUE
"nuevovigia",11,"Panama, Central America",FALSE,TRUE,TRUE
"dijeron",77,"SP 'they said'",FALSE,TRUE,TRUE
"eachtoherown",22,,FALSE,TRUE,TRUE
"xn--6biz918m1uabaa",,,FALSE,TRUE,TRUE
"surfpismo",11,,FALSE,TRUE,TRUE
"nuevoguarare",11,"Panama, Central America",FALSE,TRUE,TRUE
"tufanganj",11,"An Eastern Indian city and a municipality of Cooch Behar district in the state of West Bengal.",FALSE,TRUE,TRUE
"acciontrabajo",11,"ES action work",FALSE,TRUE,TRUE
"nuevaitalia",33,"SP 'New Italy' .. Michoacán, Mexico ..OR.. Paraguay",FALSE,TRUE,TRUE
"takestan",20,"Siadehan or Siaden, aka Takestan, is a city and capital of Takestan County, in Qazvin Province, Iran; literally means "vineyard".",FALSE,TRUE,TRUE
"yourice",22,,FALSE,TRUE,TRUE
"xn--entrs-esa",,,FALSE,TRUE,TRUE
"xn--11bo3d2c1c",,,FALSE,TRUE,TRUE
"elgoogle",3190.0913,,FALSE,TRUE,TRUE
"xn--l1b6a5b9a9f",,,FALSE,TRUE,TRUE
"xn--d9b4ae0a3gef",,,FALSE,TRUE,TRUE
"xn--ai-on6cx8l",,,FALSE,TRUE,TRUE
"xn--meditation-4t2py55t",,,FALSE,TRUE,TRUE
"xn--meditating-4t2py55t",,,FALSE,TRUE,TRUE
"xn--shuttered-yl6n486r",,,FALSE,TRUE,TRUE
"idioot",55,,FALSE,TRUE,TRUE
"xn--ipad-kt5fz95h",,,FALSE,TRUE,TRUE
"xn--lebeb-8ra",,,FALSE,TRUE,TRUE
"xn--shutter-m43kr94o",,,FALSE,TRUE,TRUE
"xn--ms-ry2cs33g",,,FALSE,TRUE,TRUE
"xn--r1abl7a",,,FALSE,TRUE,TRUE
"xn--80apmj",,,FALSE,TRUE,TRUE
"xn--e1apl",,,FALSE,TRUE,TRUE
"xn--80aaty1a",,,FALSE,TRUE,TRUE
"xn--80auevl",,,FALSE,TRUE,TRUE
"xn--mxa6ajj",,,FALSE,TRUE,TRUE
"xn--80aaq9bh",,,FALSE,TRUE,TRUE
"mycatisfat",55,,FALSE,TRUE,TRUE
"kraftwerken",22,"DE 'power plants noun: power station'",FALSE,TRUE,TRUE
"painpal",22,,FALSE,TRUE,TRUE
"omgalol",22.2,,FALSE,TRUE,TRUE
"xn--qei0348muta",,,FALSE,TRUE,TRUE
"sensexoracle",22,,FALSE,TRUE,TRUE
"shopdaily",555,,FALSE,TRUE,TRUE
"xn--9o8hqe95ck0epa",,,FALSE,TRUE,TRUE
"salesweb",222,,FALSE,TRUE,TRUE
"artmajors",22,,FALSE,TRUE,TRUE
"artgalley",33,,FALSE,TRUE,TRUE
"ladyriders",111,,FALSE,TRUE,TRUE
"urbanforum",22,,FALSE,TRUE,TRUE
"booktrain",22,,FALSE,TRUE,TRUE
"rugbycamp",22,,FALSE,TRUE,TRUE
"travelfinds",22,,FALSE,TRUE,TRUE
"beerfeast",22,,FALSE,TRUE,TRUE
"starttravel",11,,FALSE,TRUE,TRUE
"silkcotton",11,,FALSE,TRUE,TRUE
"trickhorse",55,,FALSE,TRUE,TRUE
"arealmaps",11,,FALSE,TRUE,TRUE
"cafespice",55,,FALSE,TRUE,TRUE
"aztecmask",22,,FALSE,TRUE,TRUE
"turfcutter",22,,FALSE,TRUE,TRUE
"timelineapp",55,,FALSE,TRUE,TRUE
"createjob",22,,FALSE,TRUE,TRUE
"stonetype",22,,FALSE,TRUE,TRUE
"salespipe",222,,FALSE,TRUE,TRUE
"smileyapp",55,,FALSE,TRUE,TRUE
"windandsun",33,,FALSE,TRUE,TRUE
"spellmaster",222,,FALSE,TRUE,TRUE
"colorword",22,,FALSE,TRUE,TRUE
"targetbow",55,,FALSE,TRUE,TRUE
"wivestales",55,,FALSE,TRUE,TRUE
"touristmaps",444,,FALSE,TRUE,TRUE
"startdomain",33,,FALSE,TRUE,TRUE
"happyplant",77,,FALSE,TRUE,TRUE
"wildflowrs",22,,FALSE,TRUE,TRUE
"norise",22,"Latvian 'progress noun: procedure, process, run'",FALSE,TRUE,TRUE
"farmiliar",22,,FALSE,TRUE,TRUE
"tentcampers",22,,FALSE,TRUE,TRUE
"moscowembassy",22,,FALSE,TRUE,TRUE
"stoptrafficking",22,,FALSE,TRUE,TRUE
"londonbuildings",55,,FALSE,TRUE,TRUE
"namebooks",44,,FALSE,TRUE,TRUE
"starmoves",44,,FALSE,TRUE,TRUE
"voicewords",55,,FALSE,TRUE,TRUE
"passwordsharing",33,,FALSE,TRUE,TRUE
"rainforesttours",22,,FALSE,TRUE,TRUE
"specialdish",111,,FALSE,TRUE,TRUE
"marihuanna",222,,FALSE,TRUE,TRUE
"todaydate",55,,FALSE,TRUE,TRUE
"ratetable",55,,FALSE,TRUE,TRUE
"asktheinternet",222,,FALSE,TRUE,TRUE
"leathersupplies",22,,FALSE,TRUE,TRUE
"taxde",55,,FALSE,TRUE,TRUE
"djgigs",55,,FALSE,TRUE,TRUE
"hamburgerheaven",22,,FALSE,TRUE,TRUE
"unnel",33,"f.unnel | t.unnel | ch.unnel | ipt.unnel | g.unnel",FALSE,TRUE,TRUE
"usualstory",111,,FALSE,TRUE,TRUE
"netreq",111,,FALSE,TRUE,TRUE
"xn--on8ha90h53aca",,,FALSE,TRUE,TRUE
"wildnite",55,,FALSE,TRUE,TRUE
"mototravelers",22,,FALSE,TRUE,TRUE
"babywagon",22,,FALSE,TRUE,TRUE
"recipecart",22,,FALSE,TRUE,TRUE
"howtostartadiet",22,,FALSE,TRUE,TRUE
"canadaworkvisa",222,,FALSE,TRUE,TRUE
"earthchronicles",22,,FALSE,TRUE,TRUE
"fertilityfoods",22,,FALSE,TRUE,TRUE
"firstcaribbean",11,,FALSE,TRUE,TRUE
"californiagold",22,,FALSE,TRUE,TRUE
"biologyforkids",22,,FALSE,TRUE,TRUE
"calendarjournal",22,,FALSE,TRUE,TRUE
"aiquery",222,,FALSE,TRUE,TRUE
"friendlyfellow",11,,FALSE,TRUE,TRUE
"dudebrew",22,,FALSE,TRUE,TRUE
"hergear",555,,FALSE,TRUE,TRUE
"ecoherald",22,,FALSE,TRUE,TRUE
"nicedear",22,,FALSE,TRUE,TRUE
"nicesync",55,,FALSE,TRUE,TRUE
