domain,price,description,for_sale,personal_store,auto_renew,tags,unicode,descript-IDNA,translate-IDNA
dollaryo,44.0,,False,True,True,,,,
sirwish,22.0,,False,True,True,,,,
it-hub,88.0,,False,True,True,,,,
dadworry,11.0,,False,True,True,,,,
yearnto,22.0,,False,True,True,,,,
mompolicy,11.0,,False,True,True,,,,
nothingmax,22.22,,False,True,True,,,,
lowlust,11.0,,False,True,True,,,,
momdear,11.0,,False,True,True,,,,
letterers,111.0,,False,True,True,,,,
salutoria,22.0,IT 'salutary',False,True,True,,,,
buidlweb3,33.0,,False,True,True,,,,
lowrage,11.0,,False,True,True,,,,
lustfor,22.0,,False,True,True,,,,
alwayslost,22.0,,False,True,True,,,,
mybrokensea,22.0,,False,True,True,,,,
tastetomint,22.0,,False,True,True,,,,
baba-jaga,22.0,,False,True,True,,,,
divvied,22.0,,False,True,True,,,,
mikredki,22.0,,False,True,True,,,,
hyphenstudio,22.0,,False,True,True,,,,
doubleorquits,22.0,,False,True,True,,,,
eatpallet,33.0,,False,True,True,,,,
trashforce,33.0,,False,True,True,,,,
globe-trot,55.0,,False,True,True,,,,
childoriented,22.0,,False,True,True,,,,
itchfor,11.0,,False,True,True,,,,
kungfunecktie,22.0,,False,True,True,,,,
touchass,22.0,,False,True,True,,,,
panprog,22.0,,False,True,True,,,,
monkeydojo,111.0,,False,True,True,,,,
scoundrelly,22.22,,False,True,True,,,,
techxpert,55.0,,False,True,True,,,,
bromised,22.0,bro promise[d],False,True,True,,,,
oneuni,111.0,,False,True,True,,,,
desalinated,22.0,,False,True,True,,,,
pterophorid,22.0,"tiny plume moths, a family of Lepidoptera with unusually modified wings",False,True,True,,,,
xn--ehq0m06e,365.0,CH\ZH ‘3 6 5’,False,True,True,"PUNY_IDNA,CJK",三六五,Chinese/Japanese/Korean,three six five
rommany,99.0,,False,True,True,,,,
fastgym,44.0,,False,True,True,,,,
misseat,22.0,miss-eat \ miss-seat,False,True,True,,,,
rantize,22.0,,False,True,True,,,,
luffas,222.0,,False,True,True,,,,
geeksquare,22.0,,False,True,True,,,,
gymaesthetics,22.0,,False,True,True,,,,
snowboardhire,22.0,,False,True,True,,,,
afrostudio,22.0,,False,True,True,,,,
sitalone,22.0,,False,True,True,,,,
amemelord,22.0,,False,True,True,,,,
marspaceship,22.0,,False,True,True,,,,
busyguru,22.0,,False,True,True,,,,
insertdate,22.0,,False,True,True,,,,
ebay-nft,22.0,,False,True,True,,,,
apesmint,22.0,,False,True,True,,,,
friendlyname,22.0,,False,True,True,,,,
clickpower,55.0,,False,True,True,,,,
ironwares,111.0,,False,True,True,,,,
setcamera,22.0,,False,True,True,,,,
guccihat,22.0,,False,True,True,,,,
smash-the-bat,22.0,,False,True,True,,,,
shamcenter,22.0,,False,True,True,,,,
knightstalker,22.0,,False,True,True,,,,
burnparty,22.0,,False,True,True,,,,
feeldumb,22.0,,False,True,True,,,,
vextreme,22.0,,False,True,True,,,,
deadhead420,22.0,,False,True,True,,,,
understars,22.0,,False,True,True,,,,
dreamwalking,22.0,,False,True,True,,,,
happydecay,22.0,,False,True,True,,,,
muggleworld,11.0,,False,True,True,,,,
footdragon,11.0,,False,True,True,,,,
pensexpert,22.0,,False,True,True,,,,
xn--wine-9f53c,,,False,True,True,PUNY_IDNA,🍇wine,,
sagepunk,22.0,,False,True,True,,,,
king-of-shit,22.0,,False,True,True,,,,
chinavstaiwan,44.0,,False,True,True,,,,
energy-up,22.0,,False,True,True,,,,
unosquare,22.0,,False,True,True,,,,
justsun,22.0,,False,True,True,,,,
losttoys,22.0,,False,True,True,,,,
retiredguy,22.0,,False,True,True,,,,
flashmatrix,22.0,,False,True,True,,,,
agemoon,22.0,,False,True,True,,,,
smokedaddy,22.0,,False,True,True,,,,
awetastic,22.0,,False,True,True,,,,
artofzoo,55.0,,False,True,True,,,,
mojidad,22.0,,False,True,True,,,,
oneillusa,22.0,,False,True,True,,,,
lightyear0,22.0,,False,True,True,,,,
bluetrips,22.0,,False,True,True,,,,
enspartners,222.0,,False,True,True,,,,
uniquecapital,22.0,,False,True,True,,,,
elvesonline,22.0,,False,True,True,,,,
nationbase,22.0,,False,True,True,,,,
7two7,22.0,,False,True,True,5C,,,
dirtyphonics,22.0,,False,True,True,,,,
696-696,22.0,,False,True,True,,,,
dragonpair,11.0,,False,True,True,,,,
dragonfoot,11.0,,False,True,True,,,,
polygraphy,333.0,,False,True,True,,,,
staffmail,33.0,,False,True,True,,,,
notold,55.0,,False,True,True,,,,
wikimanual,55.0,,False,True,True,,,,
xn--z7xaa,,,False,True,True,"PUNY_IDNA,CJK",猫猫猫,Chinese/Japanese/Korean,cat cat cat
bongaverse,55.0,,False,True,True,,,,
bidonart,55.0,,False,True,True,,,,
smartswag,33.0,,False,True,True,,,,
apeshub,111.0,,False,True,True,,,,
thingtrade,22.0,,False,True,True,,,,
walkwin,22.0,,False,True,True,,,,
pop-it,22.0,,False,True,True,,,,
wineideal,44.0,,False,True,True,,,,
usertrade,22.0,,False,True,True,,,,
flowlist,22.0,,False,True,True,,,,
peacequiet,44.0,,False,True,True,,,,
walllaw,44.0,,False,True,True,,,,
planshe,222.0,plan-she | plans-he,False,True,True,,,,
worksolid,33.0,,False,True,True,,,,
clockpot,22.0,,False,True,True,,,,
mailfun,22.0,,False,True,True,,,,
kidpolicy,33.0,,False,True,True,,,,
windhide,22.0,,False,True,True,,,,
proofwin,22.0,,False,True,True,,,,
coderow,44.0,,False,True,True,,,,
mailmenu,22.0,,False,True,True,,,,
worldbirth,22.0,,False,True,True,,,,
staffpower,33.0,,False,True,True,,,,
nytrucks,22.0,,False,True,True,,,,
nftaccepted,55.0,,False,True,True,,,,
carwifi,111.0,,False,True,True,,,,
bluetoothearrings,11.0,,False,True,True,,,,
tiemekangaroodown,22.0,,False,True,True,,,,
reunionnft,22.0,,False,True,True,,,,
unmoated,22.0,,False,True,True,,,,
shopreturn,22.0,,False,True,True,,,,
slogwood,22.0,,False,True,True,,,,
ridedragon,22.0,,False,True,True,,,,
returnbest,22.0,,False,True,True,,,,
nowhat,222.0,"Now What!? | No, What?",False,True,True,,,,
nextceo,55.0,,False,True,True,,,,
nexttip,44.0,,False,True,True,,,,
slangular,22.0,,False,True,True,,,,
whackedout,22.0,,False,True,True,,,,
headrhyme,11.0,,False,True,True,,,,
amazingpoetry,11.0,,False,True,True,,,,
duediamond,22.0,,False,True,True,,,,
drawrein,22.0,,False,True,True,,,,
dragontalk,22.0,,False,True,True,,,,
dragontell,22.0,,False,True,True,,,,
outrick,55.0,,False,True,True,,,,
horseroad,22.0,,False,True,True,,,,
funnycritters,22.22,,False,True,True,,,,
cdtab,55.0,,False,True,True,5L,,,
codesk,333.0,,False,True,True,,,,
bikehazard,11.0,,False,True,True,,,,
peacemaxi,22.0,,False,True,True,,,,
fiddypence,11.0,,False,True,True,,,,
rugminter,11.0,,False,True,True,,,,
specialart,33.0,,False,True,True,,,,
devilbirth,22.0,,False,True,True,,,,
yellowrisk,22.0,,False,True,True,,,,
xn--ivy-q192b4c,,,False,True,True,PUNY_IDNA,🇦🇺ivy,,
mapsmobile,22.0,,False,True,True,,,,
goodyearmaps,11.0,,False,True,True,,,,
stirpiculturist,22.0,One who devotes themself to the improvement of the breed or stock in animals,False,True,True,,,,
flag-waving,33.0,,False,True,True,,,,
unh-unh,11.0,,False,True,True,,,,
chinamania,111.0,,False,True,True,,,,
yz01,22.0,,False,True,True,4C,,,
inacura,11.0,,False,True,True,,,,
musictag,33.0,,False,True,True,,,,
artutor,44.0,,False,True,True,,,,
unhodl,111.0,,False,True,True,,,,
idrt,444.44,,False,True,True,4L,,,
oldog,111.0,,False,True,True,5L,,,
ensninjas,55.0,,False,True,True,,,,
lovecatz,55.0,,False,True,True,,,,
touchcat,44.0,,False,True,True,,,,
giss888,88.0,,False,True,True,,,,
webjames,33.0,,False,True,True,,,,
domainssl,55.0,,False,True,True,,,,
natureboat,33.0,,False,True,True,,,,
mixwriter,22.0,,False,True,True,,,,
mindteam,44.0,,False,True,True,,,,
runeditor,33.0,,False,True,True,,,,
feedlet,11.0,,False,True,True,,,,
confuciuss,11.0,,False,True,True,,,,
longfunny,11.0,,False,True,True,,,,
betquit,55.0,,False,True,True,,,,
stargod,111.0,,False,True,True,,,,
earthround,33.0,,False,True,True,,,,
futuredad,44.0,,False,True,True,,,,
hand-worked,33.0,,False,True,True,,,,
transvests,22.0,,False,True,True,,,,
thunder-god,11.0,,False,True,True,,,,
old-fangled,33.0,,False,True,True,,,,
domainand,33.0,,False,True,True,,,,
regularira,22.0,PT 'regular' | ES 'regularize',False,True,True,,,,
amibisexual,22.0,,False,True,True,,,,
euroflag,55.0,,False,True,True,,,,
pdfcloud,33.0,,False,True,True,,,,
cheapeat,22.0,,False,True,True,,,,
asianextension,11.0,,False,True,True,,,,
apologyvideo,22.0,,False,True,True,,,,
amemesia,22.0,"A disorder, where in which a person sends a meme to the same person again, or to whom initially showed them the same meme",False,True,True,,,,
thiscanbeseen,11.0,,False,True,True,,,,
alienfistbump,11.0,,False,True,True,,,,
eth-degen,55.0,,False,True,True,,,,
exoticsinc,33.0,,False,True,True,,,,
punxart,111.0,,False,True,True,,,,
apefriend,33.0,,False,True,True,,,,
birthchip,44.0,,False,True,True,,,,
craftskill,44.0,,False,True,True,,,,
winnerlife,33.0,,False,True,True,,,,
xn--ehq45fkxb6w6e,,,False,True,True,"PUNY_IDNA,CJK",百八十三,Chinese/Japanese/Korean,One hundred and eighty-three
frozenmeal,44.0,,False,True,True,,,,
xn--ect323j,,,False,True,True,"PUNY_IDNA,CJK",通宵,Chinese/Japanese/Korean,overnight
sushiknife,33.0,,False,True,True,,,,
campingidea,22.22,,False,True,True,,,,
assassassin,22.0,,False,True,True,,,,
unicornsnot,11.0,,False,True,True,,,,
legoforadults,33.0,,False,True,True,,,,
lovemypen,33.0,,False,True,True,,,,
stonerplay,22.0,,False,True,True,,,,
campingplay,33.0,,False,True,True,,,,
mapready,22.0,,False,True,True,,,,
runtofthelitter,22.0,,False,True,True,,,,
plurali,22.0,,False,True,True,,,,
stonercards,22.22,,False,True,True,,,,
avogadrian,22.0,,False,True,True,,,,
painsomnia,22.0,,False,True,True,,,,
ww2gear,22.0,,False,True,True,,,,
supersquid,22.0,,False,True,True,,,,
fidgetpad,22.0,,False,True,True,,,,
arewehere,11.0,,False,True,True,,,,
xn--j1aiaaavco,,,False,True,True,"PUNY_IDNA,Cyrillic",котофото,Cyrillic (Russian/Ukrainian),the photo
xn--b1aqlekei,,,False,True,True,"PUNY_IDNA,Cyrillic",вотпуск,Cyrillic (Russian/Ukrainian),vacation
xn--h1adalean,,,False,True,True,"PUNY_IDNA,Cyrillic",коронки,Cyrillic (Russian/Ukrainian),crowns
clothmask,22.0,,False,True,True,,,,
stonerstickers,33.0,,False,True,True,,,,
catnerd,22.2,,False,True,True,,,,
sunrub,55.0,,False,True,True,,,,
webpager,111.0,,False,True,True,,,,
logicz,55.0,,False,True,True,,,,
salezy,77.0,,False,True,True,,,,
buxcard,55.0,,False,True,True,,,,
de-jour,55.0,,False,True,True,,,,
gasparks,11.0,,False,True,True,,,,
gashort,11.0,,False,True,True,,,,
pixelogic,55.0,,False,True,True,,,,
gashepherd,11.0,,False,True,True,,,,
gasavage,11.0,,False,True,True,,,,
gasellers,11.0,,False,True,True,,,,
ox-eye,11.0,,False,True,True,,,,
xn--1ug1455p8fa,,,False,True,True,"PUNY_ALT,PUNY_INVALID",💕👏,,
spamsite,55.0,,False,True,True,,,,
xn--1ug1455p9fa,,,False,True,True,"PUNY_ALT,PUNY_INVALID",👏💕,,
parysh,22.0,[parish],False,True,True,,,,
omejie,11.0,mis-spelling of 'emojie',False,True,True,,,,
funjest,22.2,,False,True,True,,,,
catsaga,22.2,,False,True,True,,,,
hnssparkly,234.0,...pprreettttyy..... :D,False,True,True,,,,
holistichns,999.0,,False,True,True,,,,
dimtsje,22.0,,False,True,True,,,,
paleohns,345.0,want to list early registered names..?,False,True,True,,,,
hnsbandana,123.0,,False,True,True,,,,
methusala,969.0,1HNS for the years he's said to have lived :-),False,True,True,,,,
bruijst,44.0,Dutch 'fizz',False,True,True,,,,
xn--ster-vqa,,,False,True,True,PUNY_IDNA,sôter,,
xn--cde-ho6a,,,False,True,True,PUNY_IDNA,c❄de,,
sunrisehns,456.0,For all things new in Handshake.......,False,True,True,,,,
bullride,333.0,,False,True,True,,,,
personise,111.0,,False,True,True,,,,
word-for-word,33.0,,False,True,True,,,,
bardish,55.0,,False,True,True,,,,
showing-off,55.0,,False,True,True,,,,
abrogating,55.0,Now abrogating this domain .. care to take it off my hands..?,False,True,True,,,,
mexicanpinatas,22.0,,False,True,True,,,,
seoguy,222.0,,False,True,True,,,,
pirateradioship,77.0,,False,True,True,,,,
yogaphilosophy,33.0,,False,True,True,,,,
monophagy,55.0,feeding on a single type of food,False,True,True,,,,
tiedyes,55.0,,False,True,True,,,,
newitch,33.0,new itch | new witch,False,True,True,,,,
manteaus,22.0,"plural noun: a loose gown or cloak worn by women in the 17th and 18th centuries \ a long, loose coat or overshirt worn by Muslim women.",False,True,True,,,,
boot-leg,22.0,,False,True,True,,,,
drybrushing,33.0,,False,True,True,,,,
creativekitchen,44.0,,False,True,True,,,,
freshraw,222.0,,False,True,True,,,,
petcows,55.0,,False,True,True,,,,
xn--15q26v,1111.0,CH\ZH ‘all seasons’,False,True,True,"PUNY_IDNA,CJK",全季,Chinese/Japanese/Korean,All seasons
sname,555.0,,False,True,True,5L,,,
chaa-khol,44.0,https://en.wikipedia.org/wiki/Chaa-Khol\n Russia .. OR .. a phonetic fire fuel,False,True,True,,,,
bloodbone,111.0,,False,True,True,,,,
nationalcostume,55.0,,False,True,True,,,,
xn--ai-wl03a,,,False,True,True,PUNY_IDNA,🤑ai,,
asiansupplies,55.0,,False,True,True,,,,
windowr,111.0,,False,True,True,,,,
ask8ball,111.0,,False,True,True,,,,
bolshoylog,22.0,"Botanical reserve of regional importance in Krasnensky District of the Belgorod Oblast, Russia.",False,True,True,,,,
b4buy,22.0,,False,True,True,5C,,,
selfexpert,44.0,,False,True,True,,,,
teachaid,22.0,,False,True,True,,,,
xscapetour,22.0,,False,True,True,,,,
windoors,111.0,,False,True,True,,,,
buyadrink,111.0,,False,True,True,,,,
calligraphyart,55.0,,False,True,True,,,,
seriouspizza,55.0,,False,True,True,,,,
seospy,55.0,,False,True,True,,,,
bicyclegenerator,33.0,,False,True,True,,,,
carribeanislands,11111.0,,False,True,True,,,,
farmcareer,33.0,,False,True,True,,,,
handyear,55.0,,False,True,True,,,,
bestdishes,55.0,,False,True,True,,,,
buildmake,444.0,,False,True,True,,,,
campervanusa,44.0,,False,True,True,,,,
campingholiday,222.0,,False,True,True,,,,
humanfact,33.0,,False,True,True,,,,
directshop,111.0,,False,True,True,,,,
diyshed,1111.0,,False,True,True,,,,
dishrv,22.0,,False,True,True,,,,
defineword,22.0,,False,True,True,,,,
badburger,33.0,,False,True,True,,,,
bmxmag,55.0,,False,True,True,,,,
booksused,22.0,,False,True,True,,,,
searchya,22.0,,False,True,True,,,,
theeightfoldpath,111.0,,False,True,True,,,,
theartofwriting,33.0,,False,True,True,,,,
dairygoats,111.0,,False,True,True,,,,
coughremedy,33.0,,False,True,True,,,,
customtax,44.0,,False,True,True,,,,
chocolatecup,55.0,,False,True,True,,,,
bestauthors,33.0,,False,True,True,,,,
bookcircus,33.0,,False,True,True,,,,
campersusa,55.0,,False,True,True,,,,
catsnames,55.0,,False,True,True,,,,
arcadeshop,22.0,,False,True,True,,,,
rhymetime,55.0,,False,True,True,,,,
bookyards,22.0,,False,True,True,,,,
bluesartists,33.0,,False,True,True,,,,
simplefurniture,22.0,,False,True,True,,,,
tellsus,11.0,,False,True,True,,,,
tablefor2,22.0,,False,True,True,,,,
suryayoga,55.0,,False,True,True,,,,
seooptimise,55.0,,False,True,True,,,,
wholegoods,111.0,,False,True,True,,,,
wildfermentation,111.0,,False,True,True,,,,
tindwari,11.0,A Northern Indian town and a nagar panchayat (area transitioning from rural to urban) in Banda district in the state of Uttar Pradesh.,False,True,True,,,,
xn--64hx850o,,,False,True,True,PUNY_IDNA,🖕☹,,
xn--cz8ha61y,,,False,True,True,PUNY_IDNA,🖕🤚🖕,,
sucy-en-brie,11.0,https://en.wikipedia.org/wiki/Sucy-en-Brie,False,True,True,,,,
xn--cz8ha914a,,,False,True,True,PUNY_IDNA,🖕🧣🖕,,
cloudcannabis,999.0,,False,True,True,,,,
kinghaggard,44.0,https://thelastunicorn.fandom.com/wiki/King_Haggard,False,True,True,,,,
btc_archive,666.0,,False,True,True,,,,
theforks,1234.5678,If you really need to give a mate something special....!,False,True,True,,,,
dianuevo,111.0,SP 'new day'.,False,True,True,,,,
vorgeschlagen,22.0,"DE verb:\n suggest, propose, put forward, nominate, propound",False,True,True,,,,
nuevosanjuan,111.0,"The _centre_ of the Americas lol .. central Central America, Panama",False,True,True,,,,
traviezas,22.0,SP mischief,False,True,True,,,,
nuevovigia,11.0,"Panama, Central America",False,True,True,,,,
dijeron,77.0,SP 'they said',False,True,True,,,,
eachtoherown,22.0,,False,True,True,,,,
xn--6biz918m1uabaa,,,False,True,True,PUNY_IDNA,🐦✋🐦🐦🌳,,
surfpismo,11.0,,False,True,True,,,,
nuevoguarare,11.0,"Panama, Central America",False,True,True,,,,
tufanganj,11.0,An Eastern Indian city and a municipality of Cooch Behar district in the state of West Bengal.,False,True,True,,,,
acciontrabajo,11.0,ES action work,False,True,True,,,,
nuevaitalia,33.0,"SP 'New Italy' .. Michoacán, Mexico ..OR.. Paraguay",False,True,True,,,,
takestan,20.0,"Siadehan or Siaden, aka Takestan, is a city and capital of Takestan County, in Qazvin Province, Iran; literally means vineyard"".""",False,True,True,,,,
yourice,22.0,,False,True,True,,,,
xn--entrs-esa,,,False,True,True,PUNY_IDNA,entrés,,
xn--11bo3d2c1c,,,False,True,True,"PUNY_IDNA,Hindi",क्रीज,Devanagari (Hindi),crease
elgoogle,3190.0913,,False,True,True,,,,
xn--l1b6a5b9a9f,,,False,True,True,"PUNY_IDNA,Hindi",अभीतक,Devanagari (Hindi),As yet
xn--d9b4ae0a3gef,,,False,True,True,PUNY_IDNA,ਦੀਕਿਤਾਬ,,
xn--ai-on6cx8l,,,False,True,True,"PUNY_IDNA,CJK",ai域名,Chinese/Japanese/Korean,ai domain name
xn--meditation-4t2py55t,,,False,True,True,"PUNY_IDNA,CJK",meditation中文,Chinese/Japanese/Korean,meditation in Chinese
xn--meditating-4t2py55t,,,False,True,True,"PUNY_IDNA,CJK",meditating中文,Chinese/Japanese/Korean,meditating in Chinese
xn--shuttered-yl6n486r,,,False,True,True,"PUNY_IDNA,CJK",shuttered中文,Chinese/Japanese/Korean,shutteredChinese
idioot,55.0,,False,True,True,,,,
xn--ipad-kt5fz95h,,,False,True,True,"PUNY_IDNA,CJK",二手ipad,Chinese/Japanese/Korean,second hand ipad
xn--lebeb-8ra,,,False,True,True,PUNY_IDNA,lebebè,,
xn--shutter-m43kr94o,,,False,True,True,"PUNY_IDNA,CJK",shutter中文,Chinese/Japanese/Korean,shutterChinese
xn--ms-ry2cs33g,,,False,True,True,"PUNY_IDNA,CJK",ms中文,Chinese/Japanese/Korean,mschinese
xn--r1abl7a,,,False,True,True,"PUNY_IDNA,Cyrillic",чуят,Cyrillic (Russian/Ukrainian),they hear
xn--80apmj,,,False,True,True,"PUNY_IDNA,Cyrillic",имао,Cyrillic (Russian/Ukrainian),had
xn--e1apl,,,False,True,True,"PUNY_IDNA,Cyrillic",сне,Cyrillic (Russian/Ukrainian),dream
xn--80aaty1a,,,False,True,True,"PUNY_IDNA,Cyrillic",знаат,Cyrillic (Russian/Ukrainian),they know
xn--80auevl,,,False,True,True,"PUNY_IDNA,Cyrillic",маску,Cyrillic (Russian/Ukrainian),mask
xn--mxa6ajj,,,False,True,True,"PUNY_IDNA,Greek",χαρτ,Greek,map
xn--80aaq9bh,,,False,True,True,"PUNY_IDNA,Cyrillic",ужаса,Cyrillic (Russian/Ukrainian),horror
mycatisfat,55.0,,False,True,True,,,,
kraftwerken,22.0,DE 'power plants noun: power station',False,True,True,,,,
painpal,22.0,,False,True,True,,,,
omgalol,22.2,,False,True,True,,,,
xn--qei0348muta,,,False,True,True,PUNY_IDNA,👁❤🔥,,
sensexoracle,22.0,,False,True,True,,,,
shopdaily,555.0,,False,True,True,,,,
xn--9o8hqe95ck0epa,,,False,True,True,PUNY_IDNA,🐵🙃🤓🤖👽,,
salesweb,222.0,,False,True,True,,,,
artmajors,22.0,,False,True,True,,,,
artgalley,33.0,,False,True,True,,,,
ladyriders,111.0,,False,True,True,,,,
urbanforum,22.0,,False,True,True,,,,
booktrain,22.0,,False,True,True,,,,
rugbycamp,22.0,,False,True,True,,,,
travelfinds,22.0,,False,True,True,,,,
beerfeast,22.0,,False,True,True,,,,
starttravel,11.0,,False,True,True,,,,
silkcotton,11.0,,False,True,True,,,,
trickhorse,55.0,,False,True,True,,,,
arealmaps,11.0,,False,True,True,,,,
cafespice,55.0,,False,True,True,,,,
aztecmask,22.0,,False,True,True,,,,
turfcutter,22.0,,False,True,True,,,,
timelineapp,55.0,,False,True,True,,,,
createjob,22.0,,False,True,True,,,,
stonetype,22.0,,False,True,True,,,,
salespipe,222.0,,False,True,True,,,,
smileyapp,55.0,,False,True,True,,,,
windandsun,33.0,,False,True,True,,,,
spellmaster,222.0,,False,True,True,,,,
colorword,22.0,,False,True,True,,,,
targetbow,55.0,,False,True,True,,,,
wivestales,55.0,,False,True,True,,,,
touristmaps,444.0,,False,True,True,,,,
startdomain,33.0,,False,True,True,,,,
happyplant,77.0,,False,True,True,,,,
wildflowrs,22.0,,False,True,True,,,,
norise,22.0,"Latvian 'progress noun: procedure, process, run'",False,True,True,,,,
farmiliar,22.0,,False,True,True,,,,
tentcampers,22.0,,False,True,True,,,,
moscowembassy,22.0,,False,True,True,,,,
stoptrafficking,22.0,,False,True,True,,,,
londonbuildings,55.0,,False,True,True,,,,
namebooks,44.0,,False,True,True,,,,
starmoves,44.0,,False,True,True,,,,
voicewords,55.0,,False,True,True,,,,
passwordsharing,33.0,,False,True,True,,,,
rainforesttours,22.0,,False,True,True,,,,
specialdish,111.0,,False,True,True,,,,
marihuanna,222.0,,False,True,True,,,,
todaydate,55.0,,False,True,True,,,,
ratetable,55.0,,False,True,True,,,,
asktheinternet,222.0,,False,True,True,,,,
leathersupplies,22.0,,False,True,True,,,,
taxde,55.0,,False,True,True,5L,,,
djgigs,55.0,,False,True,True,,,,
hamburgerheaven,22.0,,False,True,True,,,,
unnel,33.0,f.unnel | t.unnel | ch.unnel | ipt.unnel | g.unnel,False,True,True,5L,,,
usualstory,111.0,,False,True,True,,,,
netreq,111.0,,False,True,True,,,,
xn--on8ha90h53aca,,,False,True,True,PUNY_IDNA,🙏🏽🕉🙏🏽,,
wildnite,55.0,,False,True,True,,,,
mototravelers,22.0,,False,True,True,,,,
babywagon,22.0,,False,True,True,,,,
recipecart,22.0,,False,True,True,,,,
howtostartadiet,22.0,,False,True,True,,,,
canadaworkvisa,222.0,,False,True,True,,,,
earthchronicles,22.0,,False,True,True,,,,
fertilityfoods,22.0,,False,True,True,,,,
firstcaribbean,11.0,,False,True,True,,,,
californiagold,22.0,,False,True,True,,,,
biologyforkids,22.0,,False,True,True,,,,
calendarjournal,22.0,,False,True,True,,,,
aiquery,222.0,,False,True,True,,,,
friendlyfellow,11.0,,False,True,True,,,,
dudebrew,22.0,,False,True,True,,,,
hergear,555.0,,False,True,True,,,,
ecoherald,22.0,,False,True,True,,,,
nicedear,22.0,,False,True,True,,,,
nicesync,55.0,,False,True,True,,,,
vapenight,55.0,,False,True,True,,,,
astrodawn,55.0,,False,True,True,,,,
drugdex,222.0,,False,True,True,,,,
uneidlich,22.0,,False,True,True,,,,
spacexstock,55.0,,False,True,True,,,,
beefprice,222.0,,False,True,True,,,,
cheappart,22.0,,False,True,True,,,,
depotrestaurant,22.0,,False,True,True,,,,
createyourhappy,11.0,,False,True,True,,,,
cookingwithbeer,22.0,,False,True,True,,,,
inmatesontheweb,11.0,,False,True,True,,,,
brooklyntourism,22.0,,False,True,True,,,,
creditprovider,22.0,,False,True,True,,,,
everythingcheap,22.0,,False,True,True,,,,
gulfwartimeline,11.0,,False,True,True,,,,
electricwelding,11.0,,False,True,True,,,,
hiddenbookshelf,11.0,,False,True,True,,,,
internetroaming,22.0,,False,True,True,,,,
autospecialties,11.0,,False,True,True,,,,
blankbackground,11.0,,False,True,True,,,,
fightingchairs,11.0,,False,True,True,,,,
christmasraffle,11.0,,False,True,True,,,,
bestsoundtrack,11.0,,False,True,True,,,,
getmeouttahere,22.0,,False,True,True,,,,
enjoythemoments,11.0,,False,True,True,,,,
englishcastles,111.0,,False,True,True,,,,
clearsunglasses,22.0,,False,True,True,,,,
equestriancoach,22.0,,False,True,True,,,,
onlineshopchina,22.0,,False,True,True,,,,
exhibitservice,22.0,,False,True,True,,,,
chaletski,22.0,,False,True,True,,,,
snowbrand,22.0,,False,True,True,,,,
siteologist,22.0,,False,True,True,,,,
deskheaven,22.0,,False,True,True,,,,
resourcio,55.0,,False,True,True,,,,
mintsilo,33.0,,False,True,True,,,,
twofanatics,22.0,,False,True,True,,,,
rentboards,22.0,,False,True,True,,,,
xempted,22.0,,False,True,True,,,,
sportcritic,222.0,,False,True,True,,,,
