name,unicode,descript-IDNA,translate-IDNA,tags,expiry,value,maxBid
xn--mo8hz4a,😋🐞,"Letters + FACE SAVOURING DELICIOUS FOOD, LADY BEETLE",,PUNY_IDNA,26/11/2027 23:11:17,0.4207,2.1
usegold,,,,,26/11/2027 23:11:17,0.878,2.0
xn--cz8h83e,🖕🧶,"Letters + REVERSED HAND WITH MIDDLE FINGER EXTENDED, BALL OF YARN",,PUNY_IDNA,26/11/2027 23:11:17,0.0,1.0
xn--w9b5a,ਸਨ,"Letters + GURMUKHI LETTER SA, GURMUKHI LETTER NA",,PUNY_IDNA,26/11/2027 23:11:17,0.42,0.44
deathstories,,,,,26/11/2027 23:11:17,1.003,5.0
declineoflife,,,,,,0.0,1.0
trrx,,,,4L,26/11/2027 23:11:17,0.1,0.41
dependon,,,,,,0.0,1.0
utism,,,,5L,26/11/2027 23:11:17,5.01,50.2
gofuneral,,,,,,0.876,2.0
xn--2p8hj4g,🧶👑,"Letters + BALL OF YARN, CROWN",,PUNY_IDNA,26/11/2027 23:11:17,0.0,0.5
studio23,,,,,26/11/2027 23:11:17,0.0,257.0
weepover,,,,,,0.0,8.0
burialchamber,,,,,,0.0,2.0
0000ac,,,,,26/11/2027 23:11:17,0.0,0.5
myaccounting,,,,,26/11/2027 23:11:17,0.01,15.0
widowly,,,,,,0.414999,2.0
netherworlds,,,,,,0.0,3.0
xn--2p8hk4g,👑🧶,"Letters + CROWN, BALL OF YARN",,PUNY_IDNA,26/11/2027 23:11:17,0.0,0.5
cowrie,,,,,26/11/2027 23:11:17,0.0,1.0
xn--0bi7050n,🧶✅,"Letters + BALL OF YARN, WHITE HEAVY CHECK MARK",,PUNY_IDNA,26/11/2027 23:11:17,0.41,4.0
txeg,,,,4L,26/11/2027 23:11:17,0.0,0.41
xn--l8h0571o,⚰🥀,"Letters + COFFIN, WILTED FLOWER",,PUNY_IDNA,26/11/2027 23:11:17,3.24,3.3
quiltinghacks,,,,,26/11/2027 23:11:17,0.0,1.0
pcpayroll,,,,,26/11/2027 23:11:17,1.19,4.1
kathalin,,,,,26/11/2027 23:11:17,0.0,31.0
taxidermal,,,,,26/11/2027 23:11:17,0.0,5.0
deadgrateful,,,,,,0.0,5.0
taxestimate,,,,,26/11/2027 23:11:17,3.111,22.0
enddeath,,,,,,0.774,3.0
darns,,,,5L,26/11/2027 23:11:17,11.0,11.1
xn--56h6800o,♾💀,"Letters + PERMANENT PAPER SIGN, SKULL",,PUNY_IDNA,26/11/2027 23:11:17,1.4,46.5
xn--oq9hnm,🧶🤯,"Letters + BALL OF YARN, SHOCKED FACE WITH EXPLODING HEAD",,PUNY_IDNA,26/11/2027 23:11:17,0.41,4.0
xn--4o8h63g,🐰🧐,RABBIT FACE + FACE WITH MONOCLE,,PUNY_IDNA,26/11/2027 23:11:17,0.39,4.0
hurx,,,,4L,26/11/2027 23:11:17,0.12,5.0
mobileobituary,,,,,26/11/2027 23:11:17,1.6,7.5
hashtagwills,,,,,,0.69,1.0
beakbuddy,,,,,26/11/2027 23:11:17,0.0,0.0
myrip,,,,5L,26/11/2027 23:11:17,0.179,6.0
xn--js9hig,🥰🧔,"Letters + SMILING FACE WITH SMILING EYES AND THREE HEARTS, BEARDED PERSON",,PUNY_IDNA,26/11/2027 23:11:17,5.0,15.6
doola,,,,5L,26/11/2027 23:11:17,3.22,53.1
boxgrave,,,,,,0.0,0.4
kemating,,,,,26/11/2027 23:11:17,0.0,0.1
fractionalcurrency,,,,,,0.0,1.0
4bury,,,,5C,26/11/2027 23:11:17,0.0,0.01
bankingtax,,,,,26/11/2027 23:11:17,2.001,3.0
kathlin,,,,,26/11/2027 23:11:17,0.0,27.0
xn--dv8hx3g,🪦🔊,"Letters + HEADSTONE, SPEAKER WITH THREE SOUND WAVES",,PUNY_IDNA,26/11/2027 23:11:17,0.0,0.5
cometotheaidof,,,,,,0.0,1.0
xn--roh3493p,🐭⏺,"Letters + MOUSE FACE, BLACK CIRCLE FOR RECORD",,PUNY_IDNA,26/11/2027 23:11:17,0.4,1.1
clinicaldeath,,,,,,0.0,5.0
memoriam,,,,,26/11/2027 23:11:17,0.40001,0.41
xn--sn8h6e,🐁👑,"Letters + MOUSE, CROWN",,PUNY_IDNA,26/11/2027 23:11:17,1.0,1.5
diyhrt,,,,,26/11/2027 23:11:17,6.0,21.0
tombstoned,,,,,,0.1,2.0
wanderingwoods,,,,,26/11/2027 23:11:17,0.69,19.0
ebboflife,,,,,,0.0,1.0
deathpoems,,,,,26/11/2027 23:11:17,39.0,41.5
xn--bm3bt36b,한별,"Letters + HANGUL SYLLABLE HAN, HANGUL SYLLABLE BYEOL",,PUNY_IDNA,26/11/2027 23:11:17,1.43,2.0
girlswhofish,,,,,26/11/2027 23:11:17,2.0,5.0
xn--oq9hom,🤯🧶,"Letters + SHOCKED FACE WITH EXPLODING HEAD, BALL OF YARN",,PUNY_IDNA,26/11/2027 23:11:17,0.41,4.0
