name,expiry,value,maxBid
xn--0bi7050n,26/11/2027 23:11:17,0.41,4.0
txeg,26/11/2027 23:11:17,0.0,0.41
xn--l8h0571o,26/11/2027 23:11:17,3.24,3.3
quiltinghacks,26/11/2027 23:11:17,0.0,1.0
pcpayroll,26/11/2027 23:11:17,1.19,4.1
kathalin,26/11/2027 23:11:17,0.0,31.0
taxidermal,26/11/2027 23:11:17,0.0,5.0
deadgrateful,N/A,0.0,5.0
taxestimate,26/11/2027 23:11:17,3.111,22.0
enddeath,N/A,0.774,3.0
darns,26/11/2027 23:11:17,11.0,11.1
xn--56h6800o,26/11/2027 23:11:17,1.4,46.5
xn--oq9hnm,26/11/2027 23:11:17,0.41,4.0
xn--4o8h63g,26/11/2027 23:11:17,0.39,4.0
hurx,26/11/2027 23:11:17,0.12,5.0
mobileobituary,26/11/2027 23:11:17,1.6,7.5
hashtagwills,N/A,0.69,1.0
beakbuddy,26/11/2027 23:11:17,0.0,0.0
myrip,26/11/2027 23:11:17,0.179,6.0
xn--js9hig,26/11/2027 23:11:17,5.0,15.6
doola,26/11/2027 23:11:17,3.22,53.1
boxgrave,N/A,0.0,0.4
kemating,26/11/2027 23:11:17,0.0,0.1
fractionalcurrency,N/A,0.0,1.0
4bury,26/11/2027 23:11:17,0.0,0.01
bankingtax,26/11/2027 23:11:17,2.001,3.0
kathlin,26/11/2027 23:11:17,0.0,27.0
xn--dv8hx3g,26/11/2027 23:11:17,0.0,0.5
cometotheaidof,N/A,0.0,1.0
xn--roh3493p,26/11/2027 23:11:17,0.4,1.1
clinicaldeath,N/A,0.0,5.0
memoriam,26/11/2027 23:11:17,0.40001,0.41
xn--sn8h6e,26/11/2027 23:11:17,1.0,1.5
diyhrt,26/11/2027 23:11:17,6.0,21.0
tombstoned,N/A,0.1,2.0
wanderingwoods,26/11/2027 23:11:17,0.69,19.0
ebboflife,N/A,0.0,1.0
deathpoems,26/11/2027 23:11:17,39.0,41.5
xn--bm3bt36b,26/11/2027 23:11:17,1.43,2.0
girlswhofish,26/11/2027 23:11:17,2.0,5.0
xn--oq9hom,26/11/2027 23:11:17,0.41,4.0
